	AMR	est_counts	sid
0	MEG_6096|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	5864.0	Sample_13
1	MEG_7121|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	68.0	Sample_13
2	MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG	218.0	Sample_13
3	MEG_6891|Drugs|betalactams|Class_A_betalactamases|TEM	3973.0	Sample_13
4	MEG_4101|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXB	3701.0	Sample_13
5	MEG_6805|Drugs|betalactams|Class_A_betalactamases|TEM	25901.0	Sample_13
6	MEG_6906|Drugs|betalactams|Class_A_betalactamases|TEM	284.0	Sample_13
7	MEG_6634|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII	34.0	Sample_13
8	MEG_3197|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	2839.0	Sample_13
9	MEG_6558|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SRMB	2685.0	Sample_13
10	MEG_7176|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	95.0	Sample_13
11	MEG_2754|Drugs|MLS|Macrolide_esterases|ERED	538.0	Sample_13
12	MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation	33840.0	Sample_13
13	MEG_3243|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation	2754.0	Sample_13
14	MEG_961|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	21.0	Sample_13
15	MEG_185|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	669.0	Sample_13
16	MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA	126.0	Sample_13
17	MEG_2480|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZRB	1072.0	Sample_13
18	MEG_6859|Drugs|betalactams|Class_A_betalactamases|TEM	105.0	Sample_13
19	MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation	14601.0	Sample_13
20	MEG_3983|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	11254.0	Sample_13
21	MEG_6879|Drugs|betalactams|Class_A_betalactamases|TEM	7048.0	Sample_13
22	MEG_3241|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation	1960.0	Sample_13
23	MEG_3608|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA	123.0	Sample_13
24	MEG_3249|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation	1751.0	Sample_13
25	MEG_3620|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUG	1375.0	Sample_13
26	MEG_6994|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40	214.0	Sample_13
27	MEG_6743|Drugs|betalactams|Class_A_betalactamases|TEM	945.0	Sample_13
28	MEG_6905|Drugs|betalactams|Class_A_betalactamases|TEM	7917.0	Sample_13
29	MEG_2832|Drugs|MLS|23S_rRNA_methyltransferases|ERMF	135.0	Sample_13
30	MEG_6940|Drugs|betalactams|Class_A_betalactamases|TEM	5355.0	Sample_13
31	MEG_6582|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI	27.0	Sample_13
32	MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation	24478.0	Sample_13
33	MEG_3815|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	324.0	Sample_13
34	MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	551.0	Sample_13
35	MEG_6740|Drugs|betalactams|Class_A_betalactamases|TEM	1055.0	Sample_13
36	MEG_6835|Drugs|betalactams|Class_A_betalactamases|TEM	1064.0	Sample_13
37	MEG_6118|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	2584.0	Sample_13
38	MEG_803|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	8.0	Sample_13
39	MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation	19874.0	Sample_13
