meta	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24
AD	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1
Month	9	4	4	5	5	10	10	10	5	10	5	5	9	5	4
year	2019	2019	2019	2019	2019	2017	2016	2016	2017	2016	2017	2017	2016	2017	2019
mg_extracted	134	170	154	158	145	193.5	141.5	160.5	174	161.5	151	154	179.5	177.5	142
ng_uL_sequenced	0.221365334	0.343083669	0.040699959	0.08665929	0.236564682	0.026635015	0.245897531	0.327392191	0.293276142	0.296851368	0.248941676	0.201644789	0.19494611	0.235096492	0.254257067
TKN	13.94	34.51	4.5	8.3	7.8	0.92	18.02	25.49	25.49	22.35	22.35	21.81	17.52	21.9	35.11
NH4	8.4	17.89	3.14	6.51	4.15	0.32	7.88	7.95	7.95	9.65	9.65	8.8	7.56	14.35	16.38
Phos	6.82	15.51	1	2.46	2.49	0.22	2.4	4.68	4.68	5.49	5.49	3.56	2.46	4.01	16.88
TS_percent	2.3	15.4	0.7	0.8	1	0.23	4.21	6.75	4.19	6.67	3.05	1.33	2.82	4.56	14.1
Latitude	42.278054	42.278054	42.278054	42.278054	42.278054	38.986193	42.44206	42.44206	42.44206	42.44206	42.44206	42.44206	38.986193	38.986193	42.278054
Longitude	-83.723844	-83.723844	-83.723844	-83.723844	-83.723844	-76.942587	-76.502839	-76.502839	-76.502839	-76.502839	-76.502839	-76.502839	-76.942587	-76.942587	-83.723844
herd_size	150	600	400	330	330	80	1500	4200	4200	1850	1850	1800	4000	650	700
sick_cow_Y1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Farm	BattleCreek	Ferry	Horning	JeddoL	JeddoS	MD1	NY1B	NY4E-F	NY4E-S	NY5G-F	NY5G-S	NY6G-S	PA1	PA2	Pleasantview
